t,x,y,theta,v,omega,h,gamma1,gamma2
24.800000,5.897020,0.251658,-1.504869,0.510401,-0.834324,0.021215,0.001000,0.001000
24.900000,5.898255,0.200647,-1.588302,0.535365,-0.879377,0.003362,0.001000,0.001000
25.000000,5.894967,0.147229,-1.676239,0.523274,-0.647128,0.000314,0.001000,0.001000
25.100000,5.887780,0.095407,-1.740952,0.609916,-0.063684,0.021597,0.001000,0.001000
25.200000,5.877261,0.035329,-1.747321,0.606560,0.117166,0.040130,0.001000,0.001000
25.300000,5.866959,-0.024445,-1.735604,0.606718,0.231833,0.059114,0.001000,0.001000
25.400000,5.857700,-0.084405,-1.712421,0.615158,0.320066,0.078700,0.001000,0.001000
25.500000,5.849993,-0.145433,-1.680414,0.646062,0.492344,0.099712,0.001000,0.001000
25.600000,5.844508,-0.209800,-1.631180,0.668997,0.694264,0.123762,0.001000,0.001000
25.700000,5.842792,-0.276664,-1.561753,0.685269,0.798708,0.148964,0.001000,0.001000
25.800000,5.846146,-0.345091,-1.481882,0.700063,0.855321,0.171844,0.001000,0.001000
25.900000,5.855335,-0.414470,-1.396350,0.713373,0.878550,0.190834,0.001000,0.001000
26.000000,5.870784,-0.484090,-1.308495,0.722966,0.869611,0.205163,0.001000,0.001000
26.100000,5.892542,-0.553012,-1.221534,0.728535,0.833024,0.214248,0.001000,0.001000
26.200000,5.920293,-0.620350,-1.138232,0.730222,0.778966,0.218146,0.001000,0.001000
26.300000,5.953454,-0.685387,-1.060335,0.727399,0.710139,0.217440,0.001000,0.001000
26.400000,5.991216,-0.747540,-0.989321,0.720217,0.629095,0.213018,0.001000,0.001000
26.500000,6.032641,-0.806441,-0.926412,0.709449,0.541559,0.205797,0.001000,0.001000
26.600000,6.076772,-0.861978,-0.872256,0.695708,0.451765,0.196842,0.001000,0.001000
26.700000,6.122701,-0.914226,-0.827079,0.679601,0.361836,0.186942,0.001000,0.001000
26.800000,6.169607,-0.963398,-0.790896,0.661988,0.274729,0.176659,0.001000,0.001000
26.900000,6.216799,-1.009819,-0.763423,0.643720,0.193946,0.166379,0.001000,0.001000
27.000000,6.263735,-1.053872,-0.744028,0.625381,0.121980,0.156226,0.001000,0.001000
27.100000,6.310004,-1.095945,-0.731830,0.607348,0.060476,0.146336,0.001000,0.001000
27.200000,6.355311,-1.136393,-0.725783,0.589804,0.010259,0.136621,0.001000,0.001000
27.300000,6.399447,-1.175517,-0.724757,0.572781,-0.028385,0.126890,0.001000,0.001000
27.400000,6.442275,-1.213550,-0.727595,0.556195,-0.055547,0.116959,0.001000,0.001000
27.500000,6.483707,-1.250656,-0.733150,0.539845,-0.071447,0.106603,0.001000,0.001000
27.600000,6.523692,-1.286927,-0.740295,0.523359,-0.075923,0.095547,0.001000,0.001000
27.700000,6.562196,-1.322374,-0.747887,0.505927,-0.067023,0.083676,0.001000,0.001000
27.800000,6.599171,-1.356905,-0.754589,0.485041,-0.034678,0.070857,0.001000,0.001000
27.900000,6.634451,-1.390191,-0.758057,0.450429,0.077309,0.056943,0.001000,0.001000
28.000000,6.667279,-1.421032,-0.750326,0.245138,0.416728,0.039019,0.001000,0.001000
28.100000,6.685553,-1.437369,-0.708653,0.162530,0.636677,0.025826,0.001000,0.001000
