t,x,y,theta,v,omega,h,gamma1,gamma2
2.200000,0.334982,0.333182,1.148735,0.466161,-0.140309,0.623609,0.402224,0.160802
2.210000,0.336894,0.337433,1.147332,0.465612,-0.141728,0.619449,0.405584,0.161472
2.220000,0.338811,0.341677,1.145915,0.465041,-0.143159,0.615271,0.408988,0.162148
2.230000,0.340730,0.345913,1.144483,0.464450,-0.144603,0.611054,0.412452,0.162833
2.240000,0.342654,0.350140,1.143037,0.463839,-0.146057,0.606838,0.415944,0.163522
2.250000,0.344581,0.354359,1.141577,0.463205,-0.147536,0.602564,0.419515,0.164222
2.260000,0.346512,0.358569,1.140102,0.462552,-0.149028,0.598300,0.423108,0.164924
2.270000,0.348446,0.362771,1.138611,0.461875,-0.150542,0.594000,0.426763,0.165634
2.280000,0.350384,0.366964,1.137106,0.461176,-0.152076,0.589684,0.430462,0.166351
2.290000,0.352325,0.371147,1.135585,0.460457,-0.153631,0.585351,0.434209,0.167073
2.300000,0.354270,0.375321,1.134049,0.459714,-0.155215,0.580979,0.438022,0.167805
2.310000,0.356218,0.379485,1.132497,0.458950,-0.156819,0.576618,0.441860,0.168539
2.320000,0.358169,0.383639,1.130928,0.458160,-0.158463,0.572207,0.445774,0.169284
2.330000,0.360123,0.387783,1.129344,0.457347,-0.160133,0.567799,0.449722,0.170031
2.340000,0.362080,0.391917,1.127742,0.456511,-0.161835,0.563362,0.453731,0.170788
2.350000,0.364041,0.396039,1.126124,0.455650,-0.163574,0.558899,0.457798,0.171551
2.360000,0.366004,0.400151,1.124488,0.454768,-0.165342,0.554447,0.461893,0.172317
2.370000,0.367970,0.404252,1.122835,0.453856,-0.167161,0.549942,0.466074,0.173095
2.380000,0.369940,0.408341,1.121163,0.452922,-0.169013,0.545449,0.470280,0.173874
2.390000,0.371912,0.412418,1.119473,0.451962,-0.170910,0.540921,0.474559,0.174664
2.400000,0.373886,0.416484,1.117764,0.450976,-0.172854,0.536377,0.478891,0.175459
2.410000,0.375864,0.420537,1.116036,0.449966,-0.174842,0.531840,0.483257,0.176257
2.420000,0.377844,0.424577,1.114287,0.448925,-0.176890,0.527257,0.487706,0.177066
2.430000,0.379826,0.428605,1.112518,0.447859,-0.178985,0.522690,0.492181,0.177877
2.440000,0.381811,0.432620,1.110728,0.446764,-0.181143,0.518085,0.496735,0.178698
2.450000,0.383798,0.436621,1.108917,0.445641,-0.183361,0.513471,0.501340,0.179524
2.460000,0.385788,0.440609,1.107083,0.444492,-0.185635,0.508864,0.505982,0.180354
2.470000,0.387780,0.444582,1.105227,0.443311,-0.187985,0.504215,0.510708,0.181194
2.480000,0.389774,0.448542,1.103347,0.442104,-0.190396,0.499583,0.515461,0.182035
2.490000,0.391770,0.452487,1.101443,0.440863,-0.192888,0.494918,0.520292,0.182886
2.500000,0.393767,0.456417,1.099514,0.439591,-0.195457,0.490245,0.525178,0.183743
